1	a	31
2	b	96
3	c	89
4	d	98
5	e	82
6	a	82
7	b	75
8	c	90
9	d	28
10	e	95
11	a	16
12	b	34
13	c	65
14	d	23
15	e	37
16	a	94
17	b	97
18	c	35
19	d	100
20	e	31
21	a	29
22	b	43
23	c	17
24	d	90
25	e	81
26	a	30
27	b	36
28	c	99
29	d	4
30	e	93
31	a	1
32	b	87
33	c	54
34	d	95
35	e	25
36	a	100
37	b	38
38	c	1
39	d	81
40	e	4
41	a	69
42	b	18
43	c	19
44	d	84
45	e	50
46	a	83
47	b	9
48	c	57
49	d	78
50	e	89
51	a	89
52	b	19
53	c	92
54	d	80
55	e	85
56	a	76
57	b	38
58	c	16
59	d	3
60	e	45
61	a	60
62	b	10
63	c	21
64	d	53
65	e	97
66	a	69
67	b	80
68	c	86
69	d	7
70	e	18
71	a	64
72	b	8
73	c	73
74	d	41
75	e	53
76	a	49
77	b	64
78	c	21
79	d	72
80	e	83
81	a	68
82	b	7
83	c	50
84	d	33
85	e	63
86	a	9
87	b	52
88	c	94
89	d	20
90	e	100
91	a	95
92	b	20
93	c	65
94	d	93
95	e	24
96	a	68
97	b	39
98	c	72
99	d	79
100	e	25
